idx_in_subset,AP,query_image
382,0.599993,0172_c012_00086365_0.jpg
383,0.814381,0172_c013_00086260_0.jpg
384,0.561451,0172_c017_00086965_1.jpg
385,0.697437,0172_c019_00087160_0.jpg
386,0.720621,0173_c001_00066750_0.jpg
387,0.703415,0173_c002_00065255_0.jpg
388,0.955557,0173_c012_00067450_0.jpg
389,0.954265,0173_c013_00067320_0.jpg
390,0.963657,0173_c014_00069295_1.jpg
391,0.927055,0173_c015_00069130_0.jpg
392,0.960937,0173_c016_00069640_0.jpg
393,0.761688,0173_c017_00068180_0.jpg
394,0.985082,0173_c019_00068445_0.jpg
395,0.94875,0174_c001_00040625_0.jpg
396,0.918275,0174_c002_00041080_2.jpg
397,0.92743,0174_c003_00043925_0.jpg
398,0.929996,0174_c004_00043935_0.jpg
399,0.951187,0174_c006_00043315_0.jpg
400,0.91441,0174_c008_00072170_0.jpg
401,0.60569,0174_c009_00044130_0.jpg
402,0.965314,0174_c010_00072765_0.jpg
403,0.714685,0174_c011_00072800_0.jpg
404,0.901907,0174_c012_00040335_0.jpg
405,0.819022,0174_c013_00040370_0.jpg
406,0.839907,0174_c017_00076990_1.jpg
407,1.0,0177_c001_00072055_0.jpg
408,0.977833,0177_c012_00070025_0.jpg
409,0.974346,0177_c013_00070070_0.jpg
410,1.0,0177_c014_00068590_0.jpg
411,0.987421,0177_c015_00068575_0.jpg
412,0.959243,0177_c016_00068270_0.jpg
413,1.0,0177_c017_00069490_0.jpg
414,0.677864,0179_c001_00028745_0.jpg
415,0.671208,0179_c002_00029105_0.jpg
416,0.655313,0179_c012_00028010_0.jpg
417,0.646401,0179_c013_00028075_0.jpg
418,0.748234,0179_c014_00026615_0.jpg
419,0.628715,0179_c015_00026620_1.jpg
420,0.64428,0179_c017_00027470_0.jpg
421,0.021663,0179_c019_00027620_0.jpg
422,0.95389,0180_c002_00046530_0.jpg
423,0.994095,0180_c003_00063135_0.jpg
424,0.916455,0180_c004_00044875_0.jpg
425,0.991566,0180_c006_00045600_0.jpg
426,0.95756,0180_c008_00044735_0.jpg
427,0.963434,0180_c009_00044805_0.jpg
428,0.990322,0180_c010_00045575_0.jpg
429,0.985424,0180_c011_00062375_1.jpg
430,0.934591,0182_c002_00041180_0.jpg
431,0.875596,0182_c003_00039435_0.jpg
432,0.991037,0182_c004_00039355_0.jpg
433,0.950555,0182_c006_00039900_0.jpg
434,0.863609,0182_c008_00039245_0.jpg
435,0.711674,0182_c009_00039315_0.jpg
436,0.925638,0182_c010_00039885_0.jpg
437,0.970193,0182_c011_00039845_0.jpg
438,0.993138,0183_c001_00026450_1.jpg
439,1.0,0183_c002_00025640_0.jpg
440,1.0,0183_c012_00027180_0.jpg
441,1.0,0183_c013_00027065_0.jpg
442,1.0,0183_c014_00028825_0.jpg
443,1.0,0183_c015_00028700_0.jpg
444,1.0,0183_c016_00029115_0.jpg
445,0.998021,0183_c017_00027825_0.jpg
446,1.0,0183_c019_00028110_0.jpg
447,0.742505,0188_c001_00050155_1.jpg
448,0.813645,0188_c002_00050790_1.jpg
449,0.912303,0188_c003_00054970_0.jpg
450,0.777514,0188_c004_00055000_0.jpg
451,0.947618,0188_c005_00055735_0.jpg
452,0.871693,0188_c006_00053360_0.jpg
453,0.84996,0188_c007_00055850_0.jpg
454,0.799727,0188_c008_00055320_0.jpg
455,0.756907,0188_c009_00055250_0.jpg
456,0.904019,0188_c010_00053545_0.jpg
457,0.83578,0188_c011_00053350_0.jpg
458,0.779048,0188_c012_00048585_0.jpg
459,0.861063,0188_c013_00048620_0.jpg
460,0.753862,0188_c014_00047140_0.jpg
461,0.921999,0188_c015_00047120_0.jpg
462,0.763971,0188_c016_00046980_0.jpg
463,0.76752,0188_c017_00047990_0.jpg
464,0.813492,0188_c019_00047725_0.jpg
465,1.0,0192_c003_00031745_0.jpg
466,0.996528,0192_c004_00031650_0.jpg
467,0.998506,0192_c005_00079340_0.jpg
468,0.999849,0192_c006_00032285_0.jpg
469,0.992682,0192_c007_00079460_0.jpg
470,0.96261,0192_c008_00031570_0.jpg
471,0.977027,0192_c009_00031635_0.jpg
472,0.98662,0192_c010_00032220_0.jpg
473,0.980293,0192_c011_00032245_0.jpg
474,1.0,0196_c003_00077975_0.jpg
475,1.0,0196_c004_00077855_0.jpg
476,1.0,0196_c006_00078425_0.jpg
477,1.0,0196_c008_00077735_0.jpg
478,1.0,0196_c009_00077835_0.jpg
479,1.0,0196_c010_00078435_0.jpg
480,1.0,0196_c011_00078440_0.jpg
481,0.657525,0197_c001_00026320_0.jpg
482,0.989618,0197_c012_00024895_0.jpg
483,0.94246,0197_c013_00025000_2.jpg
484,0.922633,0197_c014_00035580_0.jpg
485,0.91434,0197_c015_00035425_0.jpg
486,0.958291,0197_c016_00013475_0.jpg
487,0.990717,0197_c017_00024035_1.jpg
488,0.972387,0197_c019_00023660_0.jpg
489,0.740313,0205_c002_00054545_1.jpg
490,0.670122,0205_c003_00056520_0.jpg
491,0.973437,0205_c004_00056490_0.jpg
492,0.755079,0205_c005_00057145_0.jpg
493,0.983364,0205_c006_00055760_0.jpg
494,0.903882,0205_c007_00057315_0.jpg
495,0.821899,0205_c008_00056710_0.jpg
496,0.842564,0205_c009_00056670_0.jpg
497,0.794046,0205_c010_00055905_0.jpg
498,0.933485,0205_c011_00055725_0.jpg
499,0.630691,0207_c001_00029475_0.jpg
500,0.899407,0207_c012_00029135_0.jpg
501,0.923871,0207_c013_00029180_0.jpg
502,0.690228,0207_c014_00010170_0.jpg
503,0.89782,0207_c015_00010090_0.jpg
504,0.811333,0207_c016_00010480_1.jpg
505,0.687417,0207_c017_00009240_0.jpg
506,0.71733,0207_c019_00009530_0.jpg
507,0.730301,0216_c014_00089375_0.jpg
508,0.769272,0216_c015_00089195_0.jpg
509,1.0,0216_c016_00089725_0.jpg
510,0.942832,0218_c003_00043620_0.jpg
511,0.964872,0218_c004_00043495_0.jpg
512,0.957583,0218_c005_00067700_0.jpg
513,0.995872,0218_c006_00044160_0.jpg
514,0.958073,0218_c007_00067825_0.jpg
515,0.940723,0218_c008_00043350_0.jpg
516,0.943425,0218_c009_00043410_0.jpg
517,0.94441,0218_c010_00044135_0.jpg
518,0.986274,0218_c011_00044120_0.jpg
519,0.7502,0219_c001_00026305_1.jpg
520,0.753269,0219_c012_00026705_0.jpg
521,0.963923,0219_c013_00026615_1.jpg
522,0.710421,0219_c014_00027875_0.jpg
523,0.904031,0219_c015_00027760_0.jpg
