idx_in_subset,query_name,AP_modelA,AP_modelB,AP_max,chosen_model
255,0126_c016_00002265_0.jpg,0.7588491412259951,0.9623123244634156,0.9623123244634156,B
256,0126_c017_00003330_1.jpg,0.5832001505188887,0.9724164384483807,0.9724164384483807,B
257,0126_c019_00003130_0.jpg,0.7430473629263525,0.9749285430799038,0.9749285430799038,B
258,0129_c014_00026710_1.jpg,0.8114909308535242,0.3225103117198881,0.8114909308535242,A
259,0129_c015_00026705_1.jpg,0.26385672983983827,0.4101437599582155,0.4101437599582155,B
260,0129_c017_00027580_0.jpg,0.8607700600079625,0.26947831167069236,0.8607700600079625,A
261,0129_c019_00027405_0.jpg,0.4980379066900156,0.41395142553207664,0.4980379066900156,A
262,0130_c003_00058575_1.jpg,1.0,0.5281530412173047,1.0,A
263,0130_c004_00058560_1.jpg,0.9586372043863126,0.13013651743759969,0.9586372043863126,A
264,0130_c005_00059430_0.jpg,1.0,0.6029775319151013,1.0,A
265,0130_c007_00059550_0.jpg,1.0,0.23777593682186982,1.0,A
266,0130_c008_00058880_0.jpg,0.799206891674508,0.6918670199609933,0.799206891674508,A
267,0130_c009_00058810_0.jpg,0.9011897052219195,0.2811382003927164,0.9011897052219195,A
268,0132_c001_00019750_0.jpg,1.0,0.6474231590470502,1.0,A
269,0132_c012_00018355_0.jpg,1.0,0.7312442948548759,1.0,A
270,0132_c013_00018475_0.jpg,1.0,0.9564620766202363,1.0,A
271,0132_c014_00016320_0.jpg,1.0,0.9124805851607919,1.0,A
272,0132_c015_00016420_0.jpg,1.0,0.974260890106893,1.0,A
273,0132_c016_00015950_1.jpg,1.0,0.8819814899070256,1.0,A
274,0132_c017_00017675_0.jpg,1.0,0.6992914187649355,1.0,A
275,0132_c019_00017370_0.jpg,1.0,0.9609233956146752,1.0,A
276,0134_c001_00064795_1.jpg,0.9668500763361,0.9907074350775447,0.9907074350775447,B
277,0134_c002_00063575_0.jpg,0.5504465168129591,0.9617153672924288,0.9617153672924288,B
278,0134_c003_00049335_0.jpg,0.9033182502323518,0.9395518827317929,0.9395518827317929,B
279,0134_c004_00049285_0.jpg,0.5961535785587682,0.9947087719530191,0.9947087719530191,B
280,0134_c005_00051340_0.jpg,0.9016985911907508,0.9194197734440506,0.9194197734440506,B
281,0134_c006_00047550_1.jpg,0.5384877139286838,0.9735683385432966,0.9735683385432966,B
282,0134_c007_00051615_0.jpg,0.9830078541385068,0.48923175822773635,0.9830078541385068,A
283,0134_c008_00049955_0.jpg,0.7613245067036614,0.9942908377957638,0.9942908377957638,B
284,0134_c009_00049775_0.jpg,0.8350427352303467,0.9441213917252577,0.9441213917252577,B
285,0134_c010_00061445_0.jpg,0.5525079117960529,0.9828886099842997,0.9828886099842997,B
286,0134_c011_00061670_0.jpg,0.9217789766007551,0.9850174760841571,0.9850174760841571,B
287,0134_c012_00065940_0.jpg,0.9098491792240979,0.9745630167616414,0.9745630167616414,B
288,0134_c013_00065515_0.jpg,0.5161417604291311,0.9826546813965654,0.9826546813965654,B
289,0134_c014_00070330_0.jpg,0.903929609460433,0.9536298481661065,0.9536298481661065,B
290,0134_c015_00070000_1.jpg,0.5318029530428239,0.9895789321988417,0.9895789321988417,B
291,0134_c016_00071425_0.jpg,0.5328366200854121,0.9875558816711395,0.9875558816711395,B
292,0134_c017_00067610_0.jpg,0.8315225840542414,0.9389300497079033,0.9389300497079033,B
293,0134_c019_00068345_0.jpg,0.4936972418749608,0.9667127302932359,0.9667127302932359,B
294,0135_c001_00061845_0.jpg,0.6852151630946919,0.9947164482307906,0.9947164482307906,B
295,0135_c002_00068195_1.jpg,0.7834116775140622,0.9918809122599406,0.9918809122599406,B
296,0135_c003_00070150_0.jpg,0.6144922350532921,0.9936477166861505,0.9936477166861505,B
297,0135_c004_00070135_0.jpg,0.7628408693107401,0.9966871197074308,0.9966871197074308,B
298,0135_c005_00070830_0.jpg,0.7417980069552126,0.9963585990132671,0.9963585990132671,B
299,0135_c006_00069415_0.jpg,0.6301756099080104,0.9997917317504946,0.9997917317504946,B
300,0135_c007_00070935_0.jpg,0.6898331848761431,0.9884797535500022,0.9884797535500022,B
301,0135_c008_00070415_0.jpg,0.3327874067871188,0.9937058938868797,0.9937058938868797,B
302,0135_c009_00070340_0.jpg,0.5064306824710052,0.9916465936033656,0.9916465936033656,B
303,0135_c010_00069590_1.jpg,0.674229512371081,0.9930810454060294,0.9930810454060294,B
